timestamp_ns,module,scope,kind,value
2509174265964208,SystemManagerTick,ExecuteTick,ns,4383584.000000
2509174273003416,SystemManagerTick,ExecuteTick,ns,1958.000000
2509174287917541,SystemManagerTick,ExecuteTick,ns,4193208.000000
2509174295183250,SystemManagerTick,ExecuteTick,ns,1125.000000
2509174311034625,SystemManagerTick,ExecuteTick,ns,4216375.000000
2509174318273791,SystemManagerTick,ExecuteTick,ns,917.000000
2509174334352583,SystemManagerTick,ExecuteTick,ns,3569167.000000
2509174342398125,SystemManagerTick,ExecuteTick,ns,1083.000000
2509174359290916,SystemManagerTick,ExecuteTick,ns,4386167.000000
2509174366318041,SystemManagerTick,ExecuteTick,ns,1333.000000
2509174383194416,SystemManagerTick,ExecuteTick,ns,4362917.000000
2509174390258166,SystemManagerTick,ExecuteTick,ns,2084.000000
2509174406634750,SystemManagerTick,ExecuteTick,ns,3872750.000000
2509174414312000,SystemManagerTick,ExecuteTick,ns,1334.000000
2509174430795583,SystemManagerTick,ExecuteTick,ns,3975750.000000
2509174437854875,SystemManagerTick,ExecuteTick,ns,1625.000000
2509174454280458,SystemManagerTick,ExecuteTick,ns,3918750.000000
2509174461902375,SystemManagerTick,ExecuteTick,ns,1333.000000
2509174478233500,SystemManagerTick,ExecuteTick,ns,3823000.000000
2509174485964791,SystemManagerTick,ExecuteTick,ns,1250.000000
2509174502831166,SystemManagerTick,ExecuteTick,ns,4358167.000000
2509174509893083,SystemManagerTick,ExecuteTick,ns,1959.000000
2509174526633250,SystemManagerTick,ExecuteTick,ns,4233917.000000
2509174533858666,SystemManagerTick,ExecuteTick,ns,1541.000000
2509174549941333,SystemManagerTick,ExecuteTick,ns,3569833.000000
2509174557987291,SystemManagerTick,ExecuteTick,ns,1583.000000
2509174574736958,SystemManagerTick,ExecuteTick,ns,4238666.000000
2509174581960291,SystemManagerTick,ExecuteTick,ns,1542.000000
2509174598700041,SystemManagerTick,ExecuteTick,ns,4233917.000000
2509174605935333,SystemManagerTick,ExecuteTick,ns,2083.000000
2509174622129541,SystemManagerTick,ExecuteTick,ns,3689917.000000
2509174628513125,SystemManagerTick,ExecuteTick,ns,1042.000000
2509174643025500,SystemManagerTick,ExecuteTick,ns,3634000.000000
2509174650990958,SystemManagerTick,ExecuteTick,ns,1250.000000
2509174667090500,SystemManagerTick,ExecuteTick,ns,3593042.000000
2509174673666833,SystemManagerTick,ExecuteTick,ns,958.000000
2509174690667041,SystemManagerTick,ExecuteTick,ns,4630500.000000
2509174697412375,SystemManagerTick,ExecuteTick,ns,1167.000000
2509174712219125,SystemManagerTick,ExecuteTick,ns,3672708.000000
2509174720134875,SystemManagerTick,ExecuteTick,ns,1041.000000
2509174735562208,SystemManagerTick,ExecuteTick,ns,4401958.000000
2509174742567291,SystemManagerTick,ExecuteTick,ns,1083.000000
2509174758963166,SystemManagerTick,ExecuteTick,ns,4531625.000000
2509174765805791,SystemManagerTick,ExecuteTick,ns,1167.000000
2509174782320208,SystemManagerTick,ExecuteTick,ns,4005916.000000
2509174789835000,SystemManagerTick,ExecuteTick,ns,1542.000000
2509174806979416,SystemManagerTick,ExecuteTick,ns,4638625.000000
2509174813708958,SystemManagerTick,ExecuteTick,ns,4917.000000
2509174828322041,SystemManagerTick,ExecuteTick,ns,3775583.000000
2509174836126083,SystemManagerTick,ExecuteTick,ns,2125.000000
2509174852979250,SystemManagerTick,ExecuteTick,ns,4345834.000000
2509174860055875,SystemManagerTick,ExecuteTick,ns,1084.000000
2509174875052041,SystemManagerTick,ExecuteTick,ns,3865458.000000
2509174882731083,SystemManagerTick,ExecuteTick,ns,1042.000000
2509174899767125,SystemManagerTick,ExecuteTick,ns,4531208.000000
2509174905847250,SystemManagerTick,ExecuteTick,ns,1042.000000
2509174922281041,SystemManagerTick,ExecuteTick,ns,3913458.000000
2509174929780333,SystemManagerTick,ExecuteTick,ns,2167.000000
2509174946528166,SystemManagerTick,ExecuteTick,ns,4238375.000000
2509174953755458,SystemManagerTick,ExecuteTick,ns,1334.000000
2509174970073083,SystemManagerTick,ExecuteTick,ns,4067958.000000
2509174976171708,SystemManagerTick,ExecuteTick,ns,1041.000000
2509174989804666,SystemManagerTick,ExecuteTick,ns,3586417.000000
2509174997829125,SystemManagerTick,ExecuteTick,ns,1250.000000
2509175014416000,SystemManagerTick,ExecuteTick,ns,4080250.000000
2509175021837625,SystemManagerTick,ExecuteTick,ns,1542.000000
2509175038192250,SystemManagerTick,ExecuteTick,ns,3850458.000000
2509175045901833,SystemManagerTick,ExecuteTick,ns,1334.000000
2509175060137875,SystemManagerTick,ExecuteTick,ns,3907709.000000
2509175067760625,SystemManagerTick,ExecuteTick,ns,959.000000
2509175084680916,SystemManagerTick,ExecuteTick,ns,4413750.000000
2509175091673041,SystemManagerTick,ExecuteTick,ns,1416.000000
2509175108100916,SystemManagerTick,ExecuteTick,ns,3917542.000000
2509175115728458,SystemManagerTick,ExecuteTick,ns,1292.000000
2509175131419791,SystemManagerTick,ExecuteTick,ns,4251833.000000
2509175138622291,SystemManagerTick,ExecuteTick,ns,1458.000000
2509175155088375,SystemManagerTick,ExecuteTick,ns,3961209.000000
2509175162655875,SystemManagerTick,ExecuteTick,ns,1084.000000
2509175177692375,SystemManagerTick,ExecuteTick,ns,4373000.000000
2509175184732625,SystemManagerTick,ExecuteTick,ns,1042.000000
2509175200715166,SystemManagerTick,ExecuteTick,ns,3808375.000000
2509175208461083,SystemManagerTick,ExecuteTick,ns,1041.000000
2509175224970625,SystemManagerTick,ExecuteTick,ns,3994375.000000
2509175232504416,SystemManagerTick,ExecuteTick,ns,4291.000000
2509175248559875,SystemManagerTick,ExecuteTick,ns,4597209.000000
2509175255335125,SystemManagerTick,ExecuteTick,ns,1584.000000
2509175270047541,SystemManagerTick,ExecuteTick,ns,3817417.000000
2509175277787458,SystemManagerTick,ExecuteTick,ns,1583.000000
2509175293327375,SystemManagerTick,ExecuteTick,ns,4545375.000000
2509175299840416,SystemManagerTick,ExecuteTick,ns,1208.000000
2509175316214416,SystemManagerTick,ExecuteTick,ns,3984667.000000
2509175323751916,SystemManagerTick,ExecuteTick,ns,2000.000000
2509175340214875,SystemManagerTick,ExecuteTick,ns,3957667.000000
2509175347778375,SystemManagerTick,ExecuteTick,ns,958.000000
2509175364570791,SystemManagerTick,ExecuteTick,ns,4282916.000000
2509175371742958,SystemManagerTick,ExecuteTick,ns,1291.000000
2509175387700250,SystemManagerTick,ExecuteTick,ns,4530375.000000
2509175394547750,SystemManagerTick,ExecuteTick,ns,1500.000000
2509175410756958,SystemManagerTick,ExecuteTick,ns,4432250.000000
2509175417723000,SystemManagerTick,ExecuteTick,ns,1083.000000
2509175432351875,SystemManagerTick,ExecuteTick,ns,3834416.000000
2509175439506041,SystemManagerTick,ExecuteTick,ns,1875.000000
2509175456266916,SystemManagerTick,ExecuteTick,ns,4256708.000000
2509175463466833,SystemManagerTick,ExecuteTick,ns,1333.000000
2509175479746708,SystemManagerTick,ExecuteTick,ns,3772541.000000
2509175487555708,SystemManagerTick,ExecuteTick,ns,2500.000000
2509175502890041,SystemManagerTick,ExecuteTick,ns,4260792.000000
2509175510088125,SystemManagerTick,ExecuteTick,ns,2209.000000
2509175526248541,SystemManagerTick,ExecuteTick,ns,3647834.000000
2509175534205041,SystemManagerTick,ExecuteTick,ns,2875.000000
2509175550350583,SystemManagerTick,ExecuteTick,ns,3628750.000000
2509175558343375,SystemManagerTick,ExecuteTick,ns,8792.000000
2509175575006000,SystemManagerTick,ExecuteTick,ns,4157291.000000
2509175582320500,SystemManagerTick,ExecuteTick,ns,1709.000000
2509175599043250,SystemManagerTick,ExecuteTick,ns,4216792.000000
2509175606304583,SystemManagerTick,ExecuteTick,ns,2208.000000
2509175621267291,SystemManagerTick,ExecuteTick,ns,3601792.000000
2509175629078625,SystemManagerTick,ExecuteTick,ns,1625.000000
2509175644626750,SystemManagerTick,ExecuteTick,ns,4168667.000000
2509175651943791,SystemManagerTick,ExecuteTick,ns,2334.000000
2509175668095875,SystemManagerTick,ExecuteTick,ns,3647459.000000
2509175676044000,SystemManagerTick,ExecuteTick,ns,1333.000000
2509175692736875,SystemManagerTick,ExecuteTick,ns,4185708.000000
2509175700012250,SystemManagerTick,ExecuteTick,ns,1250.000000
2509175715983833,SystemManagerTick,ExecuteTick,ns,4147083.000000
2509175723310750,SystemManagerTick,ExecuteTick,ns,1167.000000
2509175740005791,SystemManagerTick,ExecuteTick,ns,4188000.000000
2509175747310375,SystemManagerTick,ExecuteTick,ns,1041.000000
2509175763484500,SystemManagerTick,ExecuteTick,ns,3665667.000000
2509175771437791,SystemManagerTick,ExecuteTick,ns,1500.000000
2509175786807333,SystemManagerTick,ExecuteTick,ns,4165042.000000
2509175794111291,SystemManagerTick,ExecuteTick,ns,917.000000
2509175810777458,SystemManagerTick,ExecuteTick,ns,4160625.000000
2509175818085583,SystemManagerTick,ExecuteTick,ns,917.000000
2509175834970833,SystemManagerTick,ExecuteTick,ns,4379334.000000
2509175842006500,SystemManagerTick,ExecuteTick,ns,1250.000000
2509175858509125,SystemManagerTick,ExecuteTick,ns,3992166.000000
2509175866039583,SystemManagerTick,ExecuteTick,ns,1334.000000
2509175882477416,SystemManagerTick,ExecuteTick,ns,3932917.000000
2509175890069458,SystemManagerTick,ExecuteTick,ns,1542.000000
2509175906888750,SystemManagerTick,ExecuteTick,ns,4314583.000000
2509175914015208,SystemManagerTick,ExecuteTick,ns,1375.000000
2509175930812666,SystemManagerTick,ExecuteTick,ns,4290292.000000
2509175937967250,SystemManagerTick,ExecuteTick,ns,1833.000000
2509175954537916,SystemManagerTick,ExecuteTick,ns,4050583.000000
2509175961842041,SystemManagerTick,ExecuteTick,ns,1625.000000
2509175977247333,SystemManagerTick,ExecuteTick,ns,3647417.000000
2509175985212750,SystemManagerTick,ExecuteTick,ns,2208.000000
2509176001320375,SystemManagerTick,ExecuteTick,ns,3603083.000000
2509176007921875,SystemManagerTick,ExecuteTick,ns,1459.000000
2509176024486875,SystemManagerTick,ExecuteTick,ns,4177667.000000
